latitude,longitude
-23.359922990990963,-44.73616744684686
-23.359922990990963,-44.601032311711776
-23.359922990990963,-44.59202330270277
-23.350913981981954,-44.754185464864875
-23.350913981981954,-44.74517645585587
-23.350913981981954,-44.73616744684686
-23.350913981981954,-44.72715843783786
-23.350913981981954,-44.601032311711776
-23.350913981981954,-44.59202330270277
-23.350913981981954,-44.583014293693765
-23.341904972972944,-44.754185464864875
-23.341904972972944,-44.74517645585587
-23.341904972972944,-44.73616744684686
-23.341904972972944,-44.72715843783786
-23.341904972972944,-44.71814942882885
-23.341904972972944,-44.709140419819846
-23.341904972972944,-44.691122401801834
-23.341904972972944,-44.67310438378382
-23.341904972972944,-44.66409537477482
-23.341904972972944,-44.65508636576581
-23.341904972972944,-44.628059338738794
-23.341904972972944,-44.61004132072078
-23.341904972972944,-44.601032311711776
-23.341904972972944,-44.59202330270277
-23.341904972972944,-44.583014293693765
-23.341904972972944,-44.57400528468476
-23.332895963963935,-44.77220348288289
-23.332895963963935,-44.76319447387388
-23.332895963963935,-44.754185464864875
-23.332895963963935,-44.74517645585587
-23.332895963963935,-44.73616744684686
-23.332895963963935,-44.72715843783786
-23.332895963963935,-44.71814942882885
-23.332895963963935,-44.709140419819846
-23.332895963963935,-44.70013141081084
-23.332895963963935,-44.691122401801834
-23.332895963963935,-44.68211339279283
-23.332895963963935,-44.67310438378382
-23.332895963963935,-44.66409537477482
-23.332895963963935,-44.65508636576581
-23.332895963963935,-44.646077356756805
-23.332895963963935,-44.628059338738794
-23.332895963963935,-44.61905032972979
-23.332895963963935,-44.61004132072078
-23.332895963963935,-44.601032311711776
-23.332895963963935,-44.59202330270277
-23.332895963963935,-44.583014293693765
-23.332895963963935,-44.57400528468476
-23.332895963963935,-44.56499627567575
-23.323886954954926,-44.77220348288289
-23.323886954954926,-44.76319447387388
-23.323886954954926,-44.754185464864875
-23.323886954954926,-44.74517645585587
-23.323886954954926,-44.73616744684686
-23.323886954954926,-44.72715843783786
-23.323886954954926,-44.71814942882885
-23.323886954954926,-44.709140419819846
-23.323886954954926,-44.70013141081084
-23.323886954954926,-44.691122401801834
-23.323886954954926,-44.68211339279283
-23.323886954954926,-44.67310438378382
-23.323886954954926,-44.66409537477482
